"PODSTAWOWE DANE O BEZROBOTNYCH ZAREJESTROWNYCH W URZĘDACH PRACY  W LATACH 1990-2026
BASIC DATA ON UNEMPLOYED PERSONS REGISTERED IN LABOUR OFFICES IN THE 1990-2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W końcu roku / miesiąca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As of the end of year /month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyszczególnienie,Specification,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020, 2021,2022,2023,2024,2025,III 2026
0,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,36
Stopa bezrobocia w % (po korektach),Unemployment rate1) in %,"6,1","11,4","13,6","16,4","16,0","14,9","13,2","10,3","10,4","13,1","15,1","17,5","20,0","20,0","19,0","17,6","14,8","11,2","9,5","12,1","12,4","12,5","13,4","13,4","11,4","9,7","8,2","6,6","5,8","5,2","6,8","5,8","5,2","5,1","5,1","5,7","6,1"
,,w liczbach bezwzględnych / in person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zarejestrowani bezrobotni,Unemployed persons - total,1 126 140,2 155 573,2 509 342,2 889 601,2 838 038,2 628 808,2 359 489,1 826 413,1 831 351,2 349 805,2 702 576,3 115 056,3 216 958,3 175 674,2 999 601,2 773 000,2 309 410,1 746 573,1 473 752,1 892 680,1 954 706,1 982 676,2 136 815,2 157 883,1 825 180,1 563 339,1 335 155,1 081 746,968 888,866 374,1 046 432,895 203,812 301,788 229,786 179,887 865,949 828
w tym,of which,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poprzednio pracujący,previously employed,x,x,1 965 154,2 245 615,2 186 169,2 075 288,1 967 668,1 478 091,1 416 785,1 792 935,2 059 304,2 375 666,2 449 654,2 411 483,2 291 360,2 116 376,1 764 110,1 341 788,1 144 847,1 493 927,1 549 568,1 588 307,1 739 842,1 764 723,1 509 774,1 313 194,1 141 483,931 330,839 430,756 149,915 910,783 905,705 442,688 300,689 881,775 824,833 972
dotychczas nie pracujący,previously not employed,x,x,544 188,643 986,651 869,553 520,391 821,348 322,414 566,556 870,643 272,739 390,767 304,764 191,708 241,656 624,545 300,404 785,328 905,398 753,405 138,394 369,396 973,393 160,315 406,250 145,193 672,150 416,129 458,110 225,130 522,111 298,106 859,99 929,96 298,112 041,115 856
z prawem do zasiłku,entitled to benefit ,891 651,1 702 972,1 311 625,1 394 314,1 422 756,1 548 956,1 224 017,556 504,420 239,554 079,548 622,624 213,538 671,478 105,425 755,374 342,310 828,250 633,271 269,380 007,326 582,326 471,358 250,297 778,242 378,217 315,186 700,159 583,153 268,142 455,167 769,119 342,115 430,119 720,123 077,124 911,125 331
